的	川
除	乙口人
通	之一又
貓	斤月十
餓	人又七
病	广一一
假	川添又
段	大大三
課	言寸曲
急	儿添又
藥	十卜巛
城	二一七
任	川添二
羅	目曲巛
理	三
唱	口一曲
藍	十卜一
縣	目一梄
常	曲人目
菜	十卜斤
感	七
較	梄曲言
敢	一卜三
臉	月一口
操	寸添口
南	十寸米
吳	口一巛
聲	二二又
德	人卜一
局	又竹乙
雲	梄添二
整	梄一口
克	十寸儿
喊	口一七
跳	口卜添
養	米三言
團	口寸一
樂	川曲巛
待	人卜二
深	添添梄
求	一添曲
親	言米目
葉	十卜梄
款	二二二
率	言一十
調	言寸月
修	川添斤
試	言寸七
謝	言寸川
僅	川添三
層	又竹人
面	一添川
週	之一月
趙	二人月
情	之巛三
論	言寸人
流	添添川
招	寸添乙
痛	广一又
封	二一寸
冷	广寸人
帥	竹添目
廠	广大曲
陽	乙口曲
樹	梄一二
奧	之寸斤
章	言米十
科	竹梄广
牌	巛大川
權	梄一十
翻	斤梄曲
場	二一曲
帖	目卜卜
商	言一儿
價	川添目
寶	之寸三
體	目之曲
腳	月一人
劍	人一人
解	儿添月
底	广大儿
業	曲米米
孫	乙一竹
乾	十寸曲
證	言寸又
鐵	斤一口
落	十卜添
節	竹竹又
輕	梄曲二
輸	梄曲曲
短	竹大一
徐	人卜梄
騙	三米之
夜	言一川
師	竹添乙
贏	言七口
直	十寸一
苦	十卜十
秀	竹梄乙
博	十寸梄
朝	十寸月
詩	言寸寸
爛	米人目
靜	三卜月
存	一添乙
燒	米人二
斷	儿儿巛
吾	二寸人
虧	卜七川
極	梄一又
命	人一口
茶	十卜人
案	之寸梄
品	口一口
造	之一竹
野	曲卜二
綠	巛一巛
獎	巛大大
緊	七一又
故	十寸口
服	月
盡	又大一
英	十卜目
演	添添之
嘴	口一儿
簽	竹竹口
填	二一大
保	川添梄
唐	广大口
雞	斤添巛
硬	大一人
寒	之寸广
髮	三七竹
題	曲一一
距	口卜七
挑	寸添添
鬧	三三言
欲	人米儿
竟	言米儿
源	添添大
戲	卜七一
燈	米人又
亮	言一月
屬	又竹曲
窮	之人乙
粉	米梄人
爆	米人曲
戴	十寸十
然	儿
疼	广一儿
港	添添乙
狼	月竹又
蘭	十卜又
壓	大大曲
賽	之寸十
船	斤乙儿
猛	月竹乙
客	之寸儿
雖	口一川
領	人一大
望	言七月
腿	月一之
園	口寸二
祝	二曲口
鄉	巛人乙
界	曲卜人
抗	寸添月
河	添添一
缺	十竹巛
賊	目人七
尚	曲人口
福	二曲一
遭	之一一
煙	米人梄
端	言米大
猜	月竹三
架	乙竹口
熊	巛言儿
持	寸添二
廣	广大人
歸	竹添又
靈	梄添口
意	言米曲
圈	口寸米
趕	二人曲
踢	口卜一
勝	月一米
獲	月竹十
覺	川二之
塔	二一十
摸	寸添大
院	乙口之
散	十一月
爸	人米人
喜	二二口
語	言寸二
治	添添巛
降	乙口十
富	之寸曲
料	米梄广
結	巛一二
咬	口一言
醒	梄寸曲
精	米梄三
瘦	广一川
踩	口卜梄
麗	一添一
鞋	十十二
展	又竹十
興	川二目
康	广大又
堂	曲人二
救	一添竹
觀	十卜口
鍵	斤一乙
製	竹二言
餘	人又人
冒	之之目
弱	乙巛广
影	曲一言
替	二言二
陸	乙口二
願	大大川
測	添添目
寬	之寸言
武	一添七
聯	三十巛
程	竹梄口
實	之寸巛
味	口一二
零	梄添人
環	三一目
紫	卜卜儿
標	梄一梄
厚	大大乙
答	竹竹人
懶	之巛梄
顧	之竹川
運	之一之
輪	梄曲人
兼	米一又
溫	添添口
娘	巛竹言
登	又米一
微	人卜目
瞭	目一一
司	乙添一
奇	大寸一
編	巛一之
居	又竹口
憑	广寸三
盛	七大乙
奶	巛竹乙
后	斤斤一
形	一添斤
圓	口寸目
牆	巛大人
害	之寸口
景	曲一曲
穩	竹梄又
蛋	又添卜
碰	大一米
酸	梄寸巛
脫	月一儿
創	人寸之
藏	十卜七
皆	儿儿儿
屁	又竹儿
琴	三一三
錄	斤一巛
餵	人又曲
稅	竹梄人
專	一添寸
產	言人大
善	米三米
增	二一人
施	言乙乙
忍	乙寸言
聖	三十口
遊	之一言
怒	巛竹之
鄧	又米米
腰	月一梄
嫩	巛竹梄
彈	乙巛口
減	添添七
敏	竹一竹
義	米三竹
棒	梄一三
響	巛人言
校	梄一言
糖	米梄口
谷	人米口
雜	言一梄
旁	言一言
榜	梄一之
醉	梄寸言
妹	巛竹二
鋼	斤一目
幣	目卜添
評	言寸一
絕	巛一乙
幾	巛巛巛
楚	梄一卜
館	人又之
認	言寸乙
刻	言一曲
夾	大寸人
酷	梄寸竹
礦	大一广
廳	广大三
瑞	三一大
飄	梄口二
催	川添川
威	七大一
劇	卜七大
瓶	米一大
族	言乙竹
尋	又二寸
顯	曲一巛
鏈	斤一之
騎	三米大
密	之寸之
術	人卜十
炸	米人竹
腦	月一巛
禮	二曲曲
容	之人人
輝	曲人一
智	竹大口
索	十寸之
聚	三十又
拼	寸添米
燕	十一米
膜	月一大
普	米一曲
魏	竹梄巛
鳳	月寸一
鑽	斤一竹
彭	二二斤
唸	口一之
薄	十卜寸
鹽	七一口
獨	月竹目
載	十寸七
躲	川三月
舉	川二一
彩	斤添梄
甚	十二七
慶	广又又
緣	巛一大
駐	三米言
念	人一又
逃	之一添
嘉	二二乙
倉	人寸口
姚	巛竹添
症	广一卜
喇	口一梄
跨	口卜大
瞎	目一口
蛇	口巛之
購	目人二
導	之一寸
噴	口一十
屏	又竹米
優	川添之
略	曲卜儿
託	言寸竹
托	寸添七
淡	添添米
拜	竹寸一
懷	之巛言
凱	目目一
鐘	斤一二
愁	竹梄米
薩	十卜乙
揚	寸添一
勇	又巛月
財	目人十
鍊	斤一梄
終	巛一儿
質	斤寸斤
遇	之一曲
喬	竹添大
怎	竹一儿
呼	口一斤
稍	竹梄月
頓	一添巛
臨	七一竹
隔	乙口目
碗	大一乙
賠	目人言
健	川添乙
速	之一梄
雄	大添巛
暴	曲一十
識	言寸言
拔	寸添竹
探	寸添之
碟	大一十
郎	言添乙
珠	三一竹
營	米人米
府	广大寸
窗	之人川
希	人言大
患	口口口
播	寸添曲
廢	广大月
模	梄一大
磚	大一巛
舒	人一十
嫌	巛竹米
陶	乙口巛
剪	米一月
稿	竹梄言
玲	三一又
驚	十卜儿
備	川添月
趁	二人人
錦	斤一川
琳	三一梄
尊	人米梄
匯	七添添
熬	二二言
霜	梄添梄
剩	竹梄曲
域	二一一
肺	月一一
附	乙口川
制	竹二目
置	目曲十
豪	言一大
恆	之巛广
幽	巛巛目
豐	三卜三
辣	言十梄
煤	米人十
圍	口寸十
慧	三卜之
鏡	斤一言
蝦	口巛又
鵬	月一月
賀	乙竹目
險	乙口口
飾	人又竹
鋒	斤一儿
殼	二二之
覆	梄口人
趟	二人口
烤	米人一
童	言米二
蟲	口巛口
徵	人卜三
暨	又人曲
晴	曲一三
魂	二寸巛
益	米一人
庭	广大乙
消	添添曲
隆	乙口竹
粥	乙巛米
馨	二二竹
誤	言寸大
曼	之之又
暖	曲一斤
塗	添添人
妻	一添又
灣	添添言
盾	斤斤十
奔	大寸十
政	一添卜
冠	之之一
躺	川三曲
蓮	十卜之
婚	巛竹儿
攝	寸添三
醫	七添竹
閣	又寸儿
妞	巛竹卜
兔	儿寸言
飽	人又儿
桑	又言又
續	巛一目
迎	之一儿
碎	大一言
承	又添曲
勤	十一乙
凌	广寸二
旗	言乙十
妙	巛竹曲
始	巛竹巛
符	竹竹川
亭	言一一
研	大一一
霧	梄添又
珍	三一人
卓	卜寸十
韋	十口十
歡	十卜川
嗨	口一添
積	竹梄三
舔	竹卜一
贊	竹二儿
喃	口一米
簡	竹竹曲
愈	人一月
罰	目曲言
歪	大卜一
斜	人一梄
洲	添添添
罷	目曲儿
妳	巛竹人
翔	米三乙
異	曲卜十
隱	乙口斤
餐	卜寸儿
顆	曲卜大
餅	人又米
藝	十卜二
桌	卜寸曲
腎	七一月
朗	言添又
擊	梄曲巛
鼓	二二十
瞧	目一川
沉	添添月
箭	竹竹米
騰	月一三
盟	曲一月
延	乙言竹
柔	又又梄
資	二寸儿
檢	梄一人
護	言寸十
碧	三一川
籍	竹竹十
翼	乙广十
桶	梄一月
弟	人米川
衰	言儿口
叔	卜一曲
殿	又竹月
驢	三米卜
勢	二一月
航	斤乙言
兇	人言巛
旅	言乙川
技	寸添十
翠	乙广人
移	竹梄儿
搖	寸添巛
畢	曲乙十
勞	米人乙
採	寸添斤
鈕	斤一卜
渡	添添广
奪	大寸寸
乳	斤添乙
齣	卜人儿
職	三十言
宅	之寸竹
培	二一口
盼	目一人
握	寸添又
謀	言寸梄
截	十寸川
邵	乙寸口
妍	巛竹一
醋	梄寸十
漸	添添斤
塘	二一广
壽	二二一
逢	之一三
桃	梄一添
壁	又竹二
爐	米人卜
暫	梄曲斤
縫	巛一三
菊	十卜米
岸	目目大
凝	广寸儿
膩	月一七
脈	月一斤
烈	一添米
矮	竹大竹
貪	人一目
俞	人一曲
蝶	口巛十
毀	川二二
悅	之巛儿
盈	乙寸乙
材	梄一竹
翁	人米巛
耀	曲人乙
獻	卜七目
幅	目卜一
殷	斤斤又
穎	儿儿大
屈	又竹巛
怨	儿言乙
癢	广一米
恐	二卜月
凍	广寸梄
複	之广竹
柴	卜卜梄
騷	三米又
熙	七一乙
糧	米梄曲
參	巛言巛
褲	之广广
彥	言人斤
扇	之竹乙
菸	十卜广
憂	一添之
遞	之一斤
彬	梄一斤
卿	竹添巛
鶴	之之川
確	大一之
郡	又大乙
緩	巛一斤
協	十寸乙
瓊	三一儿
髒	目之十
映	曲一目
粵	川之斤
鼻	川目曲
銷	斤一曲
育	言一巛
候	川添卜
堅	七一二
閉	又寸十
決	添添又
策	竹竹梄
藤	十卜月
磊	大一大
腸	月一曲
窄	之人竹
昨	曲一竹
務	又又竹
癌	广一口
效	言一竹
猴	月竹川
醬	巛大梄
訴	言寸斤
態	巛言月
梨	竹梄梄
腹	月一竹
蟹	儿添竹
鵝	竹寸七
疑	儿儿竹
踏	口卜曲
龔	言卜十
罐	十竹口
觸	儿添儿
默	目曲大
懸	目一巛
孩	乙一言
悟	之巛口
頻	卜卜又
帽	目卜之
旋	言乙卜
擁	寸添川
猶	月竹人
霸	梄添十
席	广大目
擔	寸添人
贈	目人人
裸	之广曲
腔	月一二
賓	之寸目
臟	月一十
境	二一言
毅	言米月
煎	米一米
弦	乙巛言
罩	目曲卜
卵	儿竹言
垂	竹十二
郵	竹十十
惜	之巛曲
昭	曲一口
統	巛一言
裂	一添言
慣	之巛巛
裙	之广又
疊	曲卜曲
律	人卜又
砂	大一曲
埃	二一巛
揮	寸添梄
遙	之一巛
兜	川曲儿
監	七一目
稀	竹梄目
牴	竹二一
饒	人又二
疏	又添巛
壩	二一梄
纏	巛一广
鹹	卜寸口
聰	三十川
碳	大一目
驗	三米人
廷	乙言二
糊	米梄十
顛	十寸大
祭	儿广又
媚	巛竹目
繁	竹一巛
穗	竹梄一
虐	卜七七
蹲	口卜寸
紹	巛一口
遮	之一广
涉	添添卜
賦	目人一
敷	梄二言
瑤	三一巛
習	乙广乙
歷	大大竹
躍	口卜川
議	言寸米
趣	二人三
閱	又寸人
崇	目目之
擴	寸添广
婦	巛竹又
裕	之广人
艦	斤乙七
荒	十卜言
筋	竹竹月
鈴	斤一人
戳	乙广七
奎	大寸二
駕	乙竹三
享	言一乙
蹦	口卜目
趨	二人儿
艘	斤乙川
競	言米言
靖	言米三
奏	三卜一
釋	斤梄目
炫	米人巛
賜	目人曲
缸	十竹二
漿	巛大曲
述	之一十
鮑	儿一儿
閥	又寸川
糟	米梄一
蠢	三卜曲
植	梄一一
屍	又竹一
姨	巛竹大
幢	目卜言
暢	曲梄曲
齡	卜人人
鄰	米梄儿
艙	斤乙人
織	巛一七
驅	三米七
轟	梄曲梄
碑	大一川
燃	米人儿
姑	巛竹口
衡	人卜儿
擇	寸添目
鹼	卜寸人
窯	之人米
眠	目一乙
途	之一人
叢	曲米又
錶	斤一三
辯	言十言
輯	梄曲口
瓷	二寸一
豈	目目米
麟	广又米
祿	二曲巛
翟	乙广川
崩	目目月
厲	大大目
遺	之一口
聘	三十曲
裁	十寸言
郁	大添月
際	乙口儿
誌	言寸之
崖	目目二
獅	月竹竹
喘	口一目
氫	竹乙一
氮	竹乙米
鞍	十十之
竇	之人目
墳	二一目
巫	二卜人
虞	卜七口
癮	广一乙
剝	巛又曲
削	曲人月
籃	竹竹七
瞪	目一又
詹	儿添言
卸	十竹卜
慈	米一之
闊	又寸添
瞄	目一十
鞭	十十川
危	儿添大
媛	巛竹斤
察	之寸二
駿	三米巛
憐	之巛米
禹	竹添口
娥	巛竹七
醇	梄寸乙
辨	言十曲
祕	二曲之
煥	米人人
巢	巛寸曲
愚	曲一之
蜀	目曲口
裹	言儿曲
堤	二一卜
豹	斤月儿
冥	之之曲
媒	巛竹十
塑	米一巛
搏	寸添寸
豫	又又大
亨	言一又
皓	川曲竹
氟	竹乙乙
冤	之之言
浙	添添寸
冀	广卜曲
餡	人又川
彤	目十言
卑	川之大
蜂	口巛儿
曦	曲一米
煞	儿添米
羞	米三又
弊	目卜大
貳	七言二
氯	竹乙又
蠟	口巛巛
耕	二寸曲
稻	竹梄川
喪	二一之
氨	竹乙之
悔	之巛竹
曝	曲一大
翅	十寸又
復	人卜竹
瓣	言十斤
況	添添儿
惑	七竹之
簾	竹竹广
鑑	斤一一
彌	乙巛一
獵	月竹巛
蓬	十卜三
貌	斤月川
舜	斤添十
廚	广大米
岡	目寸目
睜	目一斤
甄	梄口一
侍	川添寸
鬆	三七斤
厭	大大大
峽	目目人
梯	梄一川
循	人卜斤
黔	目曲人
魅	川口二
徹	人卜月
廈	广大一
襯	之广言
雌	卜卜川
蛙	口巛二
雕	月二口
嬰	目人目
痣	广一之
廂	广大梄
禽	人寸言
腺	月一川
肆	三七又
冶	广寸巛
皖	川曲之
糕	米梄米
釀	梄寸口
彙	巛又之
簿	竹竹添
咸	七大口
胤	儿寸巛
蹤	口卜人
廊	广大言
畏	曲卜一
覃	梄口曲
嵌	目目十
販	目人大
袍	之广儿
臻	七二三
眺	目一添
寂	之寸卜
醣	梄寸广
螺	口巛曲
蘆	十卜卜
療	广一曲
矩	竹大七
膚	卜七月
契	三卜乙
祠	二曲乙
鞏	二卜十
峻	目目巛
爵	斤添目
刨	儿乙乙
群	又大口
盞	七竹七
髓	目之之
篩	竹竹一
魁	川口广
疆	乙巛二
霆	梄添乙
蠶	曲口口
靴	十十儿
慮	卜七曲
惱	之巛人
殊	一添梄
艇	斤乙乙
儘	川添米
寡	之寸乙
瞬	目一儿
棠	曲人梄
窺	之人二
奮	大寸川
剎	人言十
蛾	口巛七
慰	又竹之
駛	三米口
襪	之广十
礙	大一儿
獄	月竹言
闢	又寸又
督	卜一目
貶	目人竹
斧	人米斤
裔	言儿目
簇	竹竹言
崎	目目口
闌	又寸梄
慼	七大之
蟻	口巛米
瞥	目卜目
墮	乙口月
輓	梄曲儿
鴿	人一儿
懼	之巛川
障	乙口言
霄	梄添曲
詢	言寸儿
燭	米人口
襖	之广之
胞	月一乙
羨	米三添
阜	竹添十
羹	米三大
剃	人米曲
竊	之人斤
轄	梄曲之
臧	巛大七
襄	言儿十
肅	又大巛
鑿	曲米月
翎	人一乙
煌	米人川
鱗	儿一米
膊	月一寸
剁	月寸梄
彆	目卜乙
驛	三米目
鱉	目卜儿
稜	竹梄二
綽	巛一十
緻	巛一竹
脊	添寸人
勵	大大十
黏	竹梄卜
舅	川二曲
錚	斤一斤
阪	乙口又
轎	梄曲竹
鬱	十竹梄
曠	曲一广
鞠	十十米
彰	言米斤
酬	梄寸添
睛	目一三
窟	之人巛
愿	大大之
奚	斤添大
鍍	斤一广
猿	月竹之
巍	目目竹
擎	十卜竹
嵩	目目言
驕	三米竹
蹄	口卜言
穫	竹梄十
丞	又添一
鯨	儿一言
粽	米梄二
韌	十口口
宵	之寸月
剷	言米竹
罕	之之儿
駝	三米儿
箏	竹竹斤
俯	川添广
肇	之竹竹
窪	之人添
暇	曲一又
璧	又竹三
嶼	目目川
怔	之巛卜
灼	米人言
械	梄一七
凋	广寸月
癲	广一巛
瓢	梄口斤
裳	曲人言
竭	言米人
烹	言一米
韜	十口斤
胥	又添月
縛	巛一寸
躁	口卜口
癱	广一十
鞘	十十曲
驟	三米三
醃	梄寸大
雋	川卜目
禧	二曲米
鵑	口一月
脅	乙竹乙
戚	七大卜
頒	人米大
襟	之广梄
尉	又竹寸
肢	月一又
悄	之巛月
紐	巛一卜
貯	目人之
禎	二曲卜
頰	大寸大
糙	米梄之
盔	大添米
睦	目一二
炕	米人月
鬢	三七一
瘀	广一广
憾	之巛七
褒	言儿川
痔	广一寸
烘	米人大
鍛	斤一月
熄	米人之
轍	梄曲月
毯	竹七米
鐸	斤一米
邸	儿七一
熾	米人七
勉	儿寸乙
軀	川三七
績	之巛目
窖	之人口
驥	三米广
啟	之竹口
雛	儿乙巛
痞	广一大
瘟	广一目
崢	目目斤
歧	卜卜十
叛	米二大
勘	十二乙
糯	米梄梄
飼	人又乙
狹	月竹大
凰	月寸川
霓	梄添川
硝	大一月
囤	口寸巛
厥	大大米
凜	广寸言
跺	口卜月
綢	巛一月
誕	言寸卜
虜	卜七乙
夥	曲卜梄
辮	言十巛
恍	之巛一
糠	米梄添
眩	目一言
艱	十一又
貂	斤月乙
踱	口卜广
恢	之巛大
彝	巛又米
磯	大一七
舵	斤乙之
廝	广大斤
璃	三一言
懈	之巛乙
磐	斤乙大
櫥	梄一广
釐	二寸梄
匾	七添之
恃	之巛寸
羈	目曲三
鯉	儿一曲
熹	二二米
鵲	十一曲
蹈	口卜斤
秧	竹梄大
狸	月竹二
襠	之广口
鰭	儿一二
窘	之人又
斟	十二广
匿	七添十
癸	又米大
弒	人言言
噩	三一口
鬚	三七大
筷	竹竹大
輿	川二梄
硃	大一竹
敝	目卜竹
疹	广一人
羚	米三人
蝨	乙七十
墟	二一斤
榭	梄一寸
眶	目一七
稼	竹梄之
咎	儿卜卜
粹	米梄言
祗	二曲儿
褂	之广二
叟	川二又
墾	斤月又
弼	乙巛乙
翡	曲三乙
羲	米三一
軾	梄曲七
籬	竹竹巛
犀	又竹竹
摯	二一竹
褶	之广乙
篷	竹竹三
聆	三十人
騁	三米曲
碌	大一又
颱	月卜巛
怠	巛言口
嬴	言七巛
祚	二曲竹
巽	乙二乙
觴	儿添曲
壑	卜寸之
姊	巛竹竹
驪	三米一
嘖	口一三
罔	目寸言
懇	斤月之
餃	人又言
桀	儿言十
頡	二二大
骸	目之言
彿	人卜乙
輒	梄曲三
蝗	口巛川
鱷	儿一三
戮	乙广斤
烽	米人三
峙	目目寸
征	人卜卜
蛛	口巛竹
餿	人又又
嫉	巛竹广
幌	目卜曲
慚	之巛斤
婿	巛竹月
罈	十竹曲
酪	梄寸儿
幟	目卜七
蛻	口巛人
掣	竹二竹
羿	乙广大
筵	竹竹卜
矜	又又又
徊	人卜口
鬍	三七口
鏽	斤一又
饑	人又巛
奐	儿添目
癩	广一梄
禱	二曲二
靄	梄添儿
嶄	目目梄
峭	目目曲
忿	人米之
髯	三七二
齲	卜人竹
畸	曲卜口
闋	又寸大
耽	三十之
猩	月竹曲
袂	之广大
霾	梄添斤
闔	又寸二
隘	乙口米
礬	人言人
狩	月竹寸
蠡	巛又大
睫	目一卜
蝠	口巛一
氦	竹乙言
膀	月一言
贓	目人巛
耆	二竹儿
夙	月寸儿
腑	月一广
翌	乙广言
夔	米一川
舷	斤乙巛
鱔	儿一口
氓	言七乙
媳	巛竹川
躡	口卜三
羯	米三曲
翱	川曲大
邕	巛寸口
礎	大一梄
翩	之竹目
祟	巛曲巛
皰	又卜儿
輦	二言梄
氳	竹乙口
牒	巛大十
賄	目人月
冽	广寸一
亟	又乙口
輾	梄曲又
鯽	儿一又
闡	又寸曲
亙	二寸广
盎	目寸大
鰻	儿一之
恣	二寸之
矚	目一目
竣	言米巛
孺	乙一梄
皎	川曲言
翳	七添乙
崛	目目又
庵	广大大
冑	曲二目
蚤	又言广
匈	儿乙人
醞	梄寸目
蜥	口巛梄
蛀	口巛三
轂	二二梄
貉	斤月口
飴	人又口
慷	之巛添
寥	之寸人
鴕	儿巛之
旎	言乙儿
壅	言一二
繹	巛一米
爰	斤添一
鏘	斤一寸
騖	又又三
盂	一卜一
卮	斤斤乙
肴	人言月
釁	川二口
旖	言乙一
疚	广一言
崙	目目目
鱸	儿一卜
闆	又寸口
袒	之广一
氛	竹乙人
牘	巛大目
痙	广一二
鞅	十十目
骯	目之月
匱	七添目
踵	口卜二
罹	目曲之
遽	之一卜
獺	月竹梄
璦	三一斤
鮫	儿一人
乩	卜寸巛
賂	目人口
鼾	川目一
餒	人又斤
砧	大一卜
蟀	口巛添
窠	之人曲
褻	言儿二
袞	言儿人
蚩	巛曲一
豉	一添十
榔	梄一乙
駢	三米米
颼	月卜川
蚓	口巛卜
憩	竹卜川
臚	月一卜
鞣	十十又
嘗	曲人儿
牯	竹二十
囪	川之竹
鷂	儿广十
麝	广又川
瑁	三一之
齷	卜人又
骷	目之口
羸	言七米
齜	卜人卜
羶	米三口
閡	又寸言
譬	又竹言
齬	卜人二
豺	斤月竹
琺	三一添
俎	人寸目
彗	三卜又
鞦	十十竹
帚	又二之
咨	二寸口
羋	卜添卜
靼	十十一
蚪	口巛广
褥	之广寸
牖	巛大之
徨	人卜川
皴	巛言人
磋	大一二
鄹	三十乙
彫	月二斤
踴	口卜又
驃	三米梄
皚	川曲目
碉	大一口
覲	十一目
劬	儿乙口
恿	又巛之
鰍	儿一竹
鸚	目人儿
屐	又竹又
氤	竹乙大
腆	月一目
駑	巛竹三
匏	大寸儿
尷	大儿七
蝴	口巛月
鴦	目寸儿
峰	目目儿
飩	人又一
窕	之人儿
骼	目之儿
饅	人又目
瑚	三一十
圾	二一乙
跆	口卜巛
皈	川曲又
奩	大寸七
夤	儿言之
醺	梄寸二
甥	竹三曲
霹	梄添言
跎	口卜之
霑	梄添添
犧	竹二米
軛	梄曲大
霎	梄添巛
蜿	口巛乙
靂	梄添大
兕	口寸儿
鄱	斤梄乙
挈	三卜竹
狷	月竹口
瓠	大寸斤
蠕	口巛大
颺	月卜曲
畚	巛言大
嶇	目目七
幗	目卜口
鬨	三三十
瘠	广一添
颶	月卜目
毽	竹七乙
瞠	目一曲
痊	广一三
隍	乙口三
缽	十竹一
鰥	儿一目
貲	卜卜目
岌	目目乙
舨	斤乙又
赧	二一又
幛	目卜十
玷	三一卜
箝	竹竹寸
髭	三七儿
匐	儿乙一
佻	川添添
袈	乙竹言
鵪	大寸曲
猙	月竹斤
袱	之广川
駙	三米川
酗	梄寸人
貊	斤月一
睽	目一大
螃	口巛言
獷	月竹广
蟋	口巛斤
鱖	儿一巛
犛	二寸大
軔	梄曲乙
埤	二一川
琊	三一七
肄	儿儿二
鰾	儿一梄
蝙	口巛目
褫	之广斤
襤	之广七
孳	米一乙
鮪	儿一大
簷	竹竹儿
鼴	川二七
蹣	口卜十
韁	十十三
轔	梄曲米
谿	斤添人
犄	竹二大
聱	二二三
瞇	目一之
祐	二曲大
踫	口卜米
痴	广一竹
珮	三一月
虱	乙七竹
韆	十十大
瑯	三一乙
徬	人卜之
貍	斤月曲
勦	巛寸乙
霉	梄添竹
燄	儿添川
慇	斤斤月
