的	白
侯	亻コ
塞	宀土
擦	扌示
藏	艹臣
皆	匕白
屁	尸匕
琴	王㇕
宏	宀厶
例	一亻
善	羊
增	土日
施	空方
暗	日日
忍	空刀
麻	广木
怒	女心
扔	扌丿
游	氵子
腰	月女
嫩	女攵
敏	𠂉攵
棒	木工
拆	丶扌
蔡	艹示
校	木乂
糖	米口
吵	口丿
谷	八口
宇	宀寸
潘	氵釆
旁	亠方
董	艹二
榜	木方
醉	空酉
妹	女木
楚	木止
乘	禾匕
刻	亠刂
俊	亻厶
抄	丿扌
酷	酉口
京	亠小
返	之又
瑞	王而
添	氵忄
催	亻隹
威	空戊
核	木亠
瓶	䒑瓦
族	方
嘿	口灬
黎	禾水
密	宀山
炸	火卜
洪	氵廿
容	穴
智	空矢
索	十糸
聚	耳乑
拼	扌䒑
燕	廿灬
撞	扌立
膜	大月
普	空䒑
魏	禾鬼
范	艹卩
搭	口扌
袁	衤土
彭	士彡
薄	艹寸
躲	身
抵	扌丶
彩	爪彡
念	人心
惹	艹心
盒	人皿
逃	之氵
嘉	士口
姚	女氵
症	疒止
浪	氵艮
梁	氵刀
吸	口人
跨	足丂
森	木木
瞎	目口
蛇	虫
屏	尸艹
灌	氵隹
埋	土土
略	田口
蒙	艹豕
托	扌七
淡	氵火
拜	手
娜	女阝
敲	亠又
愁	禾火
勇	空又
泥	氵尸
遇	之日
怎	𠂉
磨	广石
呼	口寸
液	氵丶
嫁	女豕
稍	禾月
薛	艹辛
豆	一䒑
佐	亻工
隔	阝丁
碗	石卩
吻	口彡
健	亻二
速	之口
雄	大隹
胸	月勹
框	木匚
暴	日水
娃	女土
漏	氵雨
拔	扌㇕
洛	氵夂
探	扌木
碟	石木
郎	丶
珠	王木
透	之丿
府	广寸
叼	口㇆
窗	空穴
搜	臼扌
希	乂
患	口中
播	扌釆
逗	之䒑
帝	亠巾
模	木大
扁	空户
舒	人丨
嫌	女八
陶	阝凵
剪	䒑刀
哩	口田
稿	禾口
玲	王之
坑	土几
袋	亻衣
趁	走彡
妖	女大
琳	木王
尊	丷寸
熬	丰灬
霜	雨目
沿	口氵
浩	氵牛
剩	禾刂
域	土戈
肺	月巾
附	阝寸
制	牛刂
置	四且
豪	亠豕
幽	幺
辣	空辛
煤	火木
俾	亻鬼
慧	丰心
墨	四土
娶	耳女
遂	之豕
斌	文
控	扌工
覆	空西
趟	走口
禁	木示
烤	火丂
童	立土
徵	攵行
暨	空艮
晴	日月
魂	二鬼
益	䒑皿
庭	广士
割	宀刂
消	氵月
隆	阝生
撤	攵扌
粥	弓弓
馨	士日
曼	日四
暖	日又
柱	木丶
妻	一女
盾	斤目
奔	大艹
政	一攵
爹	八夕
廖	广彡
刺	木刂
冠	冖寸
躺	空身
鑫	金金
婚	女日
妞	女丨
兔	𠂊丶
敬	艹攵
潮	月氵
昂	日卩
咳	口亠
葛	艹乚
桑	又木
苑	夕卩
迎	之卩
碎	石十
承	㇕三
勤	廿力
摔	十扌
蒸	艹灬
凌	冫夂
旗	方其
妙	女丿
始	女
符	⺮亻
亭	亠丁
吼	口子
研	石艹
俗	八亻
珍	王彡
卓	卜十
嗨	口母
捧	扌春
舔	舌
喃	口半
愈	人一
溪	大氵
歪	不
晃	兀日
斜	人十
洲	氵⺍
乎	丿
湘	氵目
翔	羊习
枝	木十
逸	之𠂊
哄	口廿
餐	卜食
染	氵九
粘	米卜
炮	火巳
桌	卜木
芬	艹刀
萍	氵艹
桂	木土
朗	空丶
捐	扌月
荷	艹亻
棉	木巾
嗲	夕口
鼓	空士
霞	雨又
瞧	目灬
沉	氵几
箭	⺮刂
憋	巾心
盟	日皿
延	空廴
柔	又
盆	八皿
碧	王石
籍	⺮丰
浴	八氵
翼	习
哲	扌斤
涵	氵凵
菌	禾艹
桶	木用
抹	一扌
弟	空丷
傅	亻寸
柯	木丁
叔	上
殿	尸殳
怡	忄厶
航	空舟
妮	女匕
旅	方氏
技	又扌
摘	亠扌
翠	空习
移	禾夕
予	又丨
融	一虫
渡	氵广
乳	爪乚
浜	氵丘
薇	艹行
淫	士氵
拽	申扌
宅	宀七
掌	空小
培	土立
莉	艹刂
盼	目刀
握	扌至
截	十隹
酶	酉母
邵	刀阝
宣	宀日
妍	女艹
醋	酉日
穆	禾彡
啃	口止
耗	丰毛
伍	亻㇕
塘	土广
逢	之丰
桃	木氵
壁	尸土
漆	氵水
俱	且亻
菊	艹米
岸	山干
凝	冫止
烈	一灬
矮	矢女
婆	氵女
俞	刂人
蝶	空虫
枕	木冖
避	之辛
郝	土阝
浮	氵爪
盈	空㇆
材	木丿
翁	八习
固	圍口
耀	小隹
槽	日曲
幅	巾
殷	斤殳
萌	日艹
斑	王文
屈	尸凵
娟	女月
怨	空夕
恐	工
柴	止木
逆	之屮
熙	臣
抖	扌冫
忽	空勹
津	氵二
胎	月厶
摩	广手
漫	氵又
溜	氵田
扇	户
婷	女丁
堡	土亻
淘	凵氵
墓	艹土
彬	彡木
蹭	足丷
卿	丿卩
函	㇕凵
郡	尹阝
薰	艹千
映	日大
鼻	自
育	亠月
澳	氵自
候	亻矢
邀	之攵
噻	八土
佩	亻巾
策	⺮冂
藤	艹月
磊	石石
雁	厂隹
窄	穴卜
昨	日卜
倪	亻儿
癌	疒山
效	亠攵
拷	扌者
猴	犭矢
掏	扌勹
撮	日扌
蜜	宀虫
漂	氵示
序	广丨
巷	廿巳
梨	禾木
蒂	艹亠
腹	月夂
蟹	𠂊用
陷	阝臼
疑	匕
鼎	目片
慌	忄川
瘤	疒田
踏	足日
捷	止扌
罐	𠂉隹
默	空四
赫	土火
孩	子
咖	口力
悟	忄口
帽	空巾
旋	方止
壹	士䒑
霸	雨月
席	广巾
典	冂八
儒	亻而
裸	衤木
御	行卩
腔	月工
刑	刂一
蕾	艹田
囊	一衤
境	土儿
拒	扌コ
毅	立殳
煎	䒑灬
弦	弓幺
渝	刂氵
罩	四十
蓉	艹穴
卵	卯
逾	之刂
垂	千二
惜	忄日
警	艹言
揭	乚扌
昭	日口
宿	宀白
裂	一衣
僧	亻丷
裙	衤口
揍	大扌
劫	土力
扮	扌刀
喻	刂口
律	行二
株	木𠂉
砂	石丿
埃	土矢
坪	土十
吞	一口
沾	氵卜
霖	雨木
兜	空白
寨	宀甘
掐	扌𠂊
稀	禾巾
恰	忄人
棍	木匕
啵	口皮
朕	月大
淑	氵上
慕	艹忄
歇	日欠
疏	㇕川
膏	月亠
陵	阝夂
碳	石火
廷	廴士
糊	米月
楠	木半
祭	夕示
嘞	口革
拾	扌人
媚	女目
芸	艹厶
吟	口㇕
筒	口⺮
繁	𠂉糸
坦	土一
穗	禾車
虐	虎
蹲	足寸
幕	艹巾
搓	扌羊
遮	之灬
庚	广彐
哉	戈十
涉	氵止
臂	尸月
敷	甫
佬	匕亻
阮	阝一
丙	冂一
邢	一阝
莎	艹氵
趣	走又
渠	氵匚
杭	木几
崇	山示
涅	土氵
裕	衤八
挪	扌阝
荒	艹川
筋	⺮力
孕	㇆子
撕	扌其
戳	习习
奎	大土
享	亠子
棚	木月
傲	亻丰
蹦	足月
焊	火干
脂	月日
艘	舟又
靖	立月
奏	春
咒	口几
姿	冫女
炫	火幺
琦	王大
缸	𠂉工
栽	十戈
硅	石土
述	之木
泛	氵之
佑	大亻
卦	土卜
咽	口圍
倩	亻月
糟	米日
激	氵攵
珊	王一
潭	氵西
蠢	空春
植	木且
倚	亻大
姨	女弓
幢	巾土
焉	灬一
茹	艹女
桐	木冂
痰	疒火
捂	㇕口
蒲	甫艹
昊	日一
碑	石鬼
嚼	口爪
燃	火灬
煲	火亻
杖	乂木
磷	石㐄
脆	月𠂊
姑	女口
衡	行大
措	扌日
眠	目七
途	之禾
鄂	丂阝
捅	扌用
磁	石幺
沃	丿氵
浸	氵彐
柄	人木
跪	足卩
瓷	冫瓦
踹	足而
瑜	王刂
磅	石方
宴	宀女
堪	土乚
麟	鹿
翟	习隹
仗	乂一
崩	山月
莪	艹戈
聘	耳丂
裁	十衣
郁	大阝
逝	之斤
塌	土习
崖	山土
廉	广八
婉	女卩
攀	木手
喘	口而
氮	气火
鞍	革女
巫	空工
虞	空虎
瑟	王丿
揪	扌火
棵	木田
拐	力扌
削	小刂
悠	亻丨
睿	卜目
葬	艹艹
咦	口弓
瞪	目䒑
詹	𠂊言
侃	口川
授	扌爪
卸	牛卩
慈	䒑心
瞄	目田
鞭	空革
危	𠂊卩
喉	矢口
溶	氵穴
媛	女爪
拎	扌之
察	宀示
昆	日匕
禹	丿厶
娥	女戈
醇	酉子
橙	木䒑
辨	辛辛
暮	大日
薪	艹斤
巢	巛
脾	月十
愚	日心
蜀	四虫
裹	衣
藕	冂厶
滕	月半
劈	尸刀
堤	土止
拱	扌八
夸	大丂
傍	亻方
燥	火口
豹	空豸
澄	氵癶
冥	空冖
媒	女甘
垮	土丂
枯	十木
塑	䒑土
茅	艹又
搏	扌甫
豫	又豕
蒜	示艹
亨	亠了
腐	广人
皓	白口
氟	气川
冤	冖丶
据	扌尸
浙	氵扌
栓	人王
梳	川木
冀	丬八
筱	⺮攵
彤	周彡
誓	扌言
蜂	虫丰
迅	之十
曦	日丂
仰	亻卩
煞	𠂊灬
羞	空羊
注	氵王
嫂	女又
瞳	目土
黛	亻灬
拂	扌弓
挨	扌矢
泄	氵乚
茨	艹欠
慎	八忄
婕	女止
恭	廿忄
弊	巾艹
涂	氵禾
氯	气水
孰	亠丸
耕	丰川
稻	禾臼
蕊	心艹
氨	气女
愣	忄方
悔	忄母
敦	攵亠
葵	艹癶
磕	石皿
渴	乚氵
曝	水日
撇	扌巾
梗	乂日
蔚	艹尸
翅	十习
估	口亻
瓣	辛瓜
陀	阝匕
惑	空戈
墩	土亠
徽	行山
蓄	田艹
溢	氵䒑
寇	宀一
佟	亻冫
蓬	艹丰
硫	石川
俏	月亻
貌	豸
舜	爪㐄
炳	火人
茄	力艹
炭	山大
萱	艹宀
挂	扌土
掀	扌欠
翰	十日
掩	扌申
蹬	足䒑
泳	水氵
椅	大木
甄	西瓦
侍	寸亻
抑	扌亻
敖	丰攵
酮	酉冂
毫	亠毛
侵	亻彐
概	木儿
呦	口幺
援	爪扌
晾	日亠
逮	之尹
卒	亠人
捆	扌圍
菱	艹夂
梯	木亻
腕	月宀
膝	月木
嗦	冖糸
璇	王止
眨	目之
循	行目
臀	尸廿
矛	又亻
努	女力
黔	四㇕
魅	鬼
掘	凵扌
茗	夕艹
璐	王口
雌	止隹
掰	手手
伽	力亻
蛙	虫土
雕	空周
痣	疒士
隋	阝月
祛	示厶
瑛	王艹
禽	人厶
腺	月白
迦	口之
党	小儿
玖	王𠂊
肆	長
掂	扌广
菁	月艹
冶	冫厶
遣	之中
岑	山㇕
皖	白兀
糕	米灬
蘸	艹酉
茵	艹圍
簿	⺮氵
咸	戊口
呸	口不
胤	儿
桓	木日
碘	石八
瞅	目火
廊	广阝
焰	火臼
淳	子氵
畏	田衤
屑	尸小
酯	日酉
覃	西十
嵌	山欠
袍	空衤
僵	亻田
沫	氵一
臻	至
眺	儿目
寂	宀又
晏	女宀
秤	禾一
瑾	王丰
螺	虫糸
恤	忄皿
污	氵丂
涯	氵土
滋	氵幺
嗜	者口
朔	䒑月
捻	心㇕
勃	十冖
矩	矢コ
淤	冫氵
描	扌田
契	丰大
祠	示㇆
峻	山夂
稠	禾周
爵	爪寸
刨	勹刂
雍	亠隹
群	尹
烙	火夂
强	弓
痘	疒䒑
髓	骨月
嫣	女灬
募	大力
苟	艹勹
魁	空鬼
棕	木宀
倦	亻半
疆	弓田
蔓	又艹
霆	雨士
靴	革匕
眸	目牛
烟	火
殊	一木
晟	日㇆
艇	舟士
熔	火穴
裘	衣一
寡	宀刀
迥	之冂
瞬	目㐄
榕	木穴
庸	广用
棠	小木
埠	土丿
酚	酉刀
茬	丨土
珂	王丁
嗅	犬口
佰	白亻
滇	八且
寅	八宀
婧	女丰
梵	木凡
蛾	虫戈
慰	尸心
履	尸夂
宛	宀卩
嫖	女示
肽	丶月
涮	巾刂
督	空上
摁	心扌
劣	小力
崽	山心
斧	八斤
裔	衣口
湛	氵其
琛	王冖
淌	小氵
簇	⺮矢
沛	巾氵
掠	扌小
崎	口山
砌	石刀
淹	氵申
溟	冖氵
澈	攵氵
瞥	巾目
坨	土匕
椰	木阝
梢	小月
嘟	口者
障	阝十
霄	雨小
揣	扌而
唆	厶口
拴	扌王
吏	乂口
堰	土女
棺	木㠯
腥	月生
胞	月巳
韶	日立
阜	丿十
剖	立刂
羹	羊大
剃	丷刂
寓	厶宀
峪	山八
煜	火立
撩	小扌
扳	斤扌
桔	木士
臧	爿
喀	夂口
陌	阝白
弩	弓女
撰	巳扌
瞿	目隹
蛤	虫人
襄	空衣
擒	厶扌
哨	口小
懿	士心
椒	木上
翎	人习
煌	火王
瀚	氵习
泓	弓氵
昧	日木
柒	七木
辜	十辛
筐	⺮王
膊	月寸
遵	之寸
剁	空几
拙	扌屮
脊	人氵
憨	㇕心
捶	扌千
毓	𠂉川
苔	厶艹
坂	土又
黏	口禾
瞟	目示
舅	空臼
阪	阝又
恕	心女
啼	口巾
褪	衤艮
鞠	革米
彰	立日
酬	酉川
啪	口白
睛	目
遁	之目
哆	口夕
窟	穴凵
垢	土斤
愿	空厂
奚	爪大
腮	月心
嗟	羊口
沸	川氵
妓	女十
猿	犭衤
漠	氵大
撬	扌毛
巍	山鬼
漾	氵羊
擎	艹手
俐	亻禾
胚	月不
楷	白木
迭	之人
嗣	冂口
嵩	山口
蹄	足巾
褐	衤乚
丞	㇕一
芮	人艹
梭	木夂
唷	厶月
曜	日隹
畜	亠田
砼	石人
粽	米示
宵	宀月
榆	刂木
嚷	口甘
焱	火火
絮	女糸
罕	冖干
俯	亻广
瀑	日氵
肇	户二
摞	糸扌
暇	日尸
岐	山又
睬	目木
郊	亠八
璧	尸丶
捎	月扌
犁	禾牛
怔	忄止
焚	木火
恁	心亻
癖	疒辛
灼	火丶
孽	子艹
岱	亻山
麓	木鹿
匙	匕日
嚎	口豕
珏	王丶
摧	扌山
械	木戈
凋	冫周
蕙	車艹
噗	口羊
嗔	且八
筠	⺮冫
咔	口上
喧	二日
瓢	西瓜
裳	小衣
晤	日工
竭	立乚
烹	灬亠
檐	木言
戟	日十
胥	㇕月
檀	亠木
坯	土不
葡	艹甫
溴	氵犬
姝	女𠂉
垣	土二
拘	勹扌
箍	⺮巾
躁	足口
鞘	革月
凳	空癶
隙	小阝
娣	丷女
莞	艹兀
荃	艹王
伶	亻之
拭	扌弋
墅	田土
懵	忄目
碾	石衤
禧	示口
榨	木卜
黯	四日
荼	人禾
苞	艹巳
戚	戊小
倘	小亻
怯	厶忄
礁	石灬
瞻	目言
脖	月子
襟	衤示
尉	尸寸
亥	亠乡
肢	月又
悄	忄月
厘	厂土
憎	忄丷
糙	米之
炯	火冂
盔	大皿
睦	土目
炕	火几
荔	力力
嗷	口攵
藩	釆田
尬	尤
悼	忄卜
抿	七扌
憾	忄心
浣	兀氵
囿	圍月
褒	衣木
痔	疒寸
烘	火廿
渭	田氵
嘻	口士
熄	火心
烯	火巾
珉	王七
捋	寸扌
薯	艹者
蕉	艹隹
荀	勹日
逍	之月
冼	冫牛
拗	扌幺
毯	毛
邸	氏
倭	亻女
翊	立习
莽	犬艹
勉	𠂊力
璋	王十
咚	口冫
恪	忄夂
涌	氵用
醯	酉皿
圩	寸土
歉	䒑欠
樟	木立
豁	宀丰
窖	穴牛
脉	月水
扭	扌丨
胰	月弓
隅	阝厶
岔	八山
歆	立欠
秘	禾丿
畀	田川
撼	扌心
痞	疒不
瘟	疒皿
樽	木丷
歧	止又
确	石
价	川亻
寮	宀小
醛	酉王
悍	忄干
硼	月石
啤	口鬼
叛	半
浚	八夂
獒	丰犬
捌	力刂
勘	空其
樵	木灬
倡	日亻
糜	广米
漪	氵犭
瑕	王又
蔽	攵艹
糯	米而
茫	艹亡
噎	䒑口
凰	几
溺	氵冫
寰	宀衤
璞	王羊
霓	雨儿
醚	酉米
硝	石月
囤	圍屮
吭	几口
靡	广非
厥	厂欠
跺	足几
遛	之卯
扼	扌厂
吱	又口
蛟	虫亠
晗	日人
瘸	疒人
棘	冂木
恍	忄兀
糠	米广
渺	目氵
洙	氵𠂉
瀛	氵凡
琅	王艮
攥	扌糸
苛	艹丁
腌	月申
橡	木豕
嗄	自夂
眩	目幺
珞	王夂
拈	扌卜
倔	亻凵
貂	豸口
耙	丰木
跋	足㇕
踱	足又
恢	忄火
彝	彑
旌	方生
濮	羊氵
琨	匕王
琰	王火
舵	舟匕
寐	宀爿
璃	王厶
荻	艹犭
孬	空不
懈	忄牛
磐	舟石
撅	欠扌
罡	四止
漱	氵欠
庶	广灬
釜	八丷
焯	十火
熵	火亠
挎	扌丂
匾	匚艹
筑	⺮凡
膳	月羊
濡	氵而
痹	疒川
恃	忄寸
淞	厶八
搔	扌虫
梧	工木
哌	口氏
屹	山乙
灸	𠂊火
熹	士灬
焙	立火
蹈	足臼
秧	禾大
狸	犭土
沼	刀氵
毗	田匕
炬	火コ
簧	⺮廿
脲	水月
窘	穴口
赦	土攵
蔫	灬艹
煨	火衤
溯	䒑氵
薹	艹至
斟	其
匿	空匚
剔	日刂
崴	山女
胯	月丂
癸	癶大
嘲	口月
噤	示木
噩	口王
蟒	艹虫
燮	又言
汲	㇆氵
筷	⺮大
滔	氵臼
姣	女乂
丐	一乚
敝	巾攵
疹	疒彡
涕	氵亻
摹	手艹
杵	𠂉木
棣	木尹
羚	羊之
渤	力氵
墟	土业
柿	巾木
烷	火兀
蹙	戊足
璟	王日
氖	气丿
攸	攵亻
膨	月士
琉	王川
抒	丨扌
酌	酉丶
榭	木身
沅	兀一
濠	氵豕
嬉	女士
殖	一且
眶	目王
稼	禾豕
咎	空夂
潞	氵足
莓	艹母
嘈	曲日
馥	夂禾
皋	白十
粹	米亠
祗	示丶
褂	衤卜
叟	臼又
廓	广亠
弼	一弓
珈	王力
翡	非
偕	亻白
羲	羊丂
汾	刀八
蛹	虫用
湄	尸目
熨	尸火
犀	尸牛
咂	匚巾
糗	米犬
冕	日𠂊
褶	衤白
垛	土木
髻	長口
擂	扌雨
檬	豕木
咕	口十
嘶	口斤
昀	日冫
坳	土幺
槌	木之
吮	口儿
芋	寸艹
萎	艹禾
榻	木习
嗡	口习
妤	丨女
瑄	王宀
幡	巾田
篷	⺮之
尕	㇆小
聆	耳之
嗑	口皿
漳	立氵
沱	宀匕
碌	石水
偈	亻乚
蒽	心大
怠	厶心
砰	石一
曙	日者
稽	禾日
簪	⺮七
偎	亻衤
敞	小攵
徙	止行
嬴	亡凡
祚	示卜
巽	巳
兢	儿十
踮	足广
啜	又又
氰	气月
壑	卜土
嗪	口春
呤	人之
峨	山戈
濂	刂八
姊	女亻
敕	木攵
愉	忄刂
溥	氵甫
鄢	止一
罔	冂亡
衙	行口
厝	厂日
桀	夕木
澎	䒑彡
宥	大宀
骸	骨人
煽	火习
惶	忄王
煦	灬日
庇	广匕
芥	川艹
苡	厶人
蝗	虫王
暄	日宀
泯	氵七
陋	阝乚
戮	习戈
壤	土甘
墉	土用
揖	耳扌
菡	凵艹
伎	十亻
愕	忄丂
唧	口艮
烽	火丰
慨	忄艮
朦	月豕
粱	米氵
宓	宀丿
峙	山寸
侗	亻冂
征	行止
骶	骨丶
膘	月示
庾	广臼
掖	夂丶
逵	之土
秩	禾人
蕃	艹釆
蛛	虫木
晦	日母
傈	亻西
昶	丶日
痂	疒力
嫉	女矢
萘	大示
蜷	虫卩
嗤	口虫
幌	巾兀
篆	⺮豕
怖	忄巾
裱	衤衤
扈	户巴
嫡	女亠
磬	士石
嗖	口臼
踝	足田
婢	女鬼
婿	女㇕
擀	干扌
挽	扌儿
矗	十且
喙	口彑
晰	日斤
晁	儿日
箐	⺮月
鼬	臼由
揩	扌白
砣	石匕
偃	亻匚
迸	艹之
酪	口酉
咿	口尹
幔	巾又
渥	氵至
蔗	艹广
嗓	口又
郜	牛阝
膛	月小
孢	子巳
涔	氵㇕
浠	巾大
汛	氵乙
剿	空巛
噌	口丷
掣	牛手
娑	丿女
蔬	艹㇕
枷	木力
俑	亻用
腋	月丶
灞	雨氵
羿	习艹
璜	王八
拄	王扌
蟾	虫言
腚	月止
沏	七氵
嘌	口西
筵	⺮止
矜	又㇕
掬	勹米
纂	⺮糸
徊	行圍
焗	火尸
嗽	口欠
悖	子忄
耘	丰厶
郢	王阝
雒	夂隹
勐	子力
蔻	卜又
榴	木卯
伺	㇆亻
榛	木禾
筏	⺮戈
淅	斤氵
澹	氵言
辟	尸辛
姥	女者
嗝	丷丁
坷	土丁
佚	亻牛
痢	疒刂
煸	火户
汰	大丶
濯	习氵
萼	艹丂
楔	刀大
呲	匕口
唰	口尸
疃	田立
煊	火日
洵	勹氵
犟	弓牛
槎	木羊
峭	山小
猥	衤犭
惺	忄生
楣	木目
僚	小日
忿	八心
孵	空卯
罄	士凵
髯	長土
捺	示扌
懋	木心
舸	舟口
膈	月丁
寞	宀艹
蹇	宀足
畸	田大
匆	勹丶
壕	土豕
堇	廿丰
涎	氵廴
渲	日二
耽	耳儿
菅	艹㠯
猩	犭生
疵	匕疒
遐	之尸
袂	衤㇕
霾	雨土
蹴	足尤
燎	火一
熠	火白
殃	大一
噼	口辛
遏	之乚
隘	阝皿
喈	白匕
澍	䒑寸
畈	田又
衢	行隹
泌	氵心
邈	之豸
苄	卜艹
菀	卩夕
岷	山七
俘	亻子
衾	人衣
狩	犭寸
蠡	空彑
邰	厶阝
殆	夕一
鬃	長示
晌	日自
睫	目止
獾	犭隹
捍	扌干
芾	一巾
彧	空弋
蝠	虫田
嘣	月月
岢	山丁
靛	丰止
氦	气人
膀	月方
姻	女圍
葭	コ又
耆	空者
夙	几夕
腑	月广
樾	木乚
咣	口兀
噙	厶冂
猝	犭十
潼	氵立
翌	习立
夔	䒑夂
髂	骨宀
熏	千灬
舷	舟幺
肟	一丂
氓	亡七
忱	忄冖
媳	女自
蠹	中一
荐	艹子
蟮	虫羊
庖	广巳
埂	土乂
俟	矢亻
缶	𠂉凵
汴	卜氵
忝	一忄
璨	王米
喱	厂口
嵇	禾尤
怵	忄丶
湍	氵山
葳	艹戊
藜	水艹
僻	亻辛
瓤	衣瓜
羯	羊乚
拯	㇕扌
俸	亻春
翱	白习
奠	丷大
肱	大厶
屙	尸阝
邕	巛巴
埒	土爪
茱	艹𠂉
槿	木廿
楹	木㇆
哽	日乂
髁	骨木
氡	气冫
翩	户习
祟	空屮
塬	土小
琬	王卩
剋	十刂
芩	丶㇕
硎	石刂
苒	冂艹
箔	⺮白
跤	足乂
嗌	皿口
牒	片木
漩	氵方
玳	王弋
皙	木白
僳	米亻
涸	圍氵
攘	扌甘
嚄	又隹
剜	宀夕
苣	艹コ
芍	丶勹
菩	艹立
仞	刀亻
冽	冫刂
耦	厶丰
粲	卜米
啐	十人
庋	广十
鋈	金氵
亟	了
蘑	艹石
憬	小忄
愀	忄禾
湮	西氵
洇	圍大
祜	示十
饕	口食
盹	目屮
畲	人田
寤	爿宀
娉	女丂
硌	石夂
盎	冂皿
斛	𠂊十
汊	又氵
碴	一石
哮	子口
嘬	又耳
嶂	山十
逯	之水
埭	土尹
螯	丰虫
孛	十子
啷	丶口
笥	⺮㇆
狡	犭乂
竦	立木
硐	石冂
