的	白丶
患	口心
播	扌田
逗	之䒑
帝	亠巾
模	木大
扁	户艹
舒	人丨
嫌	女八
陶	阝山
剪	䒑刀
哩	口二
稿	禾口
玲	王之
坑	土几
袋	亻𧘇
趁	走彡
妖	女大
琳	王木
尊	丷寸
熬	丰灬
霜	雨目
沿	氵口
浩	氵口
剩	禾刂
域	土一
肺	月巾
附	阝寸
制	牛刂
置	四且
豪	亠豕
幽	幺山
辣	辛口
煤	火木
慧	丰心
墨	四土
娶	耳女
遂	之豕
斌	文止
控	扌工
覆	西夂
趟	走口
禁	木示
烤	火了
童	立二
晴	日月
魂	二鬼
益	䒑皿
庭	广士
肝	月十
割	宀刂
消	氵月
隆	阝生
撤	扌攵
粥	弓弓
馨	士日
曼	日又
暖	日又
柱	木王
妻	一女
盾	斤目
奔	大艹
政	一攵
爹	八夕
刺	木刂
冠	冖寸
躺	身口
婚	女日
兔	⺈丶
敬	艹攵
潮	氵月
昂	日冂
咳	口人
葛	艹乚
桑	又木
迎	之冂
碎	石十
承	㇕三
勤	廿力
摔	扌十
蒸	艹灬
凌	冫夂
旗	方其
妙	女丿
始	女口
符	⺮寸
亭	亠丁
吼	口乚
研	石艹
俗	亻口
珍	王彡
卓	卜十
捧	扌工
舔	舌忄
愈	人心
溪	氵大
歪	不止
晃	日尤
斜	人十
洲	氵川
乎	丿寸
湘	氵目
翔	羊习
枝	木又
逸	之丶
哄	口八
餐	卜食
染	氵木
粘	米口
炮	火巳
桌	卜木
芬	艹刀
萍	艹䒑
晶	日日
桂	木土
朗	丶月
捐	扌月
荷	艹口
棉	木巾
鼓	士又
霞	雨又
瞧	目灬
沉	氵几
箭	⺮刂
憋	水心
盟	日皿
延	廴止
柔	又木
盆	八皿
碧	王石
籍	⺮日
浴	氵口
翼	习八
哲	扌口
涵	氵凵
菌	艹禾
桶	木用
抹	扌木
弟	丷亻
傅	亻寸
衰	亠𧘇
叔	上又
殿	尸殳
怡	忄口
航	舟几
妮	女匕
旅	方氏
赤	土八
技	扌又
摘	扌口
翠	习十
移	禾夕
予	又丨
融	一虫
渡	氵又
乳	爪乚
薇	艹攵
淫	氵士
拽	扌弋
宅	宀七
掌	小手
培	土口
莉	艹刂
盼	目刀
握	扌至
截	土戈
宣	宀日
醋	酉日
穆	禾彡
啃	口月
耗	三毛
伍	亻㇕
塘	土口
逢	之丰
桃	木儿
壁	尸土
漆	氵水
俱	亻八
菊	艹米
岸	山十
凝	冫止
烈	一灬
矮	矢女
婆	氵女
蝶	虫木
枕	木儿
避	之辛
浮	氵子
盈	㇆皿
材	木丿
翁	八习
杆	木十
固	因口
耀	小隹
槽	木日
幅	巾田
殷	斤殳
萌	艹月
斑	王王
澡	氵木
屈	尸山
娟	女月
恐	工心
柴	止木
逆	之凵
渣	氵一
熙	臣灬
抖	扌十
忽	勹心
津	氵二
胎	月口
摩	广手
漫	氵又
溜	氵田
扇	户习
堡	亻土
淘	氵山
墓	艹土
彬	木彡
蹭	足日
卿	氏冂
函	㇕凵
映	日大
鼻	自川
育	亠月
澳	氵大
候	亻矢
邀	之攵
佩	亻巾
策	⺮冂
藤	艹水
磊	石石
雁	厂隹
窄	穴卜
昨	日卜
癌	疒山
效	亠攵
拷	扌了
猴	犭矢
掏	扌山
撮	扌又
揉	扌木
蜜	宀虫
漂	氵示
序	广丨
巷	廿巳
梨	禾木
蒂	艹巾
腹	月夂
蟹	⺈虫
陷	阝臼
疑	匕止
鼎	目片
慌	忄川
瘤	疒田
踏	足日
捷	扌止
罐	牛隹
伏	亻丶
默	四丶
赫	土八
孩	子人
咖	口口
悟	忄口
帽	巾目
旋	方止
壹	士䒑
霸	雨月
席	广巾
典	冂八
儒	亻而
裸	衤木
御	行冂
腔	月工
突	穴丶
刑	一刂
蕾	艹田
囊	一𧘇
境	土儿
拒	扌㇕
毅	立殳
煎	䒑灬
弦	弓幺
渝	氵刂
罩	四十
蓉	艹口
卵	氏丶
逾	之刂
垂	千二
惜	忄日
警	艹言
揭	扌乚
昭	日口
宿	宀白
裂	一𧘇
僧	亻日
裙	衤口
淋	氵木
揍	扌大
劫	土力
扮	扌刀
喻	口刂
律	行二
株	木小
砂	石丿
埃	土矢
坪	土䒑
吞	一口
沾	氵口
兜	白儿
寨	宀木
掐	扌臼
稀	禾巾
恰	忄口
棍	木匕
淑	氵又
慕	艹忄
歇	日欠
疏	㇕川
膏	亠月
陵	阝夂
碳	石火
廷	廴士
糊	米月
拾	扌口
媚	女目
吟	口㇕
筒	⺮口
繁	矢絲
坦	土一
穗	禾心
蹲	足寸
幕	艹巾
搓	扌工
遮	之灬
庚	广人
哉	土戈
涉	氵小
臂	尸月
敷	甫攵
丙	一人
趣	走又
渠	氵木
杭	木几
崇	山示
裕	衤口
挪	扌阝
荒	艹川
筋	⺮力
孕	㇆子
撕	扌斤
戳	习戈
享	亠子
棚	木月
傲	亻攵
蹦	足月
焊	火十
脂	月日
艘	舟又
靖	立月
奏	春大
咒	口几
姿	冫女
炫	火幺
缸	牛工
栽	土戈
硅	石土
述	之丶
泛	氵之
佑	亻口
卦	土卜
咽	口大
糟	米日
激	氵攵
珊	王一
潭	氵十
蠢	春虫
植	木且
倚	亻口
姨	女弓
幢	巾二
焉	一灬
桐	木口
痰	疒火
捂	扌口
蒲	艹甫
碑	石十
嚼	口寸
燃	火灬
杖	木乂
磷	石㐄
脆	月巳
姑	女口
衡	行大
措	扌日
眠	目七
途	之禾
鄂	口阝
捅	扌用
磁	石幺
沃	氵大
哀	亠𧘇
浸	氵又
柄	木人
跪	足巳
瓷	冫丶
凸	丨一
磅	石方
宴	宀女
堪	土乚
仗	亻乂
崩	山月
聘	耳了
刊	一刂
裁	土戈
郁	大阝
逝	之斤
塌	土习
崖	山土
廉	广八
婉	女夗
攀	木手
喘	口而
氮	气火
鞍	革女
巫	工人
瑟	王丿
揪	扌火
棵	木木
拐	扌力
削	小刂
悠	亻心
凹	冂一
葬	艹艹
瞪	目䒑
授	扌又
卸	牛冂
慈	䒑心
瞄	目田
鞭	革乂
危	⺈巳
喉	口矢
溶	氵口
拎	扌之
察	宀示
昆	日匕
禹	丿厶
娥	女戈
醇	酉子
橙	木䒑
辨	辛辛
暮	艹日
薪	艹斤
巢	巛木
脾	月十
愚	日心
蜀	四虫
裹	亠𧘇
藕	艹厶
劈	尸刀
堤	土止
拱	扌八
夸	大了
傍	亻方
燥	火木
豹	豸丶
澄	氵䒑
冥	冖八
媒	女木
垮	土了
枯	木口
塑	䒑土
茅	艹亻
搏	扌寸
豫	又豕
蒜	艹示
雀	小隹
腐	广人
皓	白口
冤	冖丶
据	扌口
浙	氵斤
栓	木王
梳	木川
冀	丬八
彤	冂彡
誓	扌言
蜂	虫丰
迅	之十
仰	亻冂
煞	⺈灬
羞	羊十
注	氵王
嫂	女又
瞳	目二
拂	扌川
挨	扌矢
泄	氵乚
慎	忄八
恭	廿忄
弊	水艹
涂	氵禾
氯	气水
耕	三川
稻	禾臼
蕊	艹心
氨	气女
愣	忄方
悔	忄母
敦	亠攵
葵	艹大
磕	石皿
渴	氵乚
曝	日水
撇	扌攵
梗	木乂
蔚	艹寸
翅	十习
估	亻口
瓣	辛辛
惑	戈心
墩	土攵
徽	行攵
蓄	艹田
溢	氵皿
寇	宀又
蓬	艹丰
硫	石川
俏	亻月
貌	豸儿
茄	艹口
炭	山火
挂	扌土
掀	扌欠
翰	十习
掩	扌乚
蹬	足䒑
泳	氵水
椅	木口
侍	亻寸
抑	扌冂
毫	亠毛
侵	亻又
概	木儿
援	扌又
晾	日小
逮	之氵
卒	亠十
捆	扌木
菱	艹夂
梯	木亻
腕	月夗
挫	扌土
膝	月水
嗦	口絲
眨	目之
循	行目
臀	尸月
矛	又亻
努	女力
黔	四㇕
魅	鬼小
掘	扌山
雌	止隹
旱	日十
掰	手手
蛙	虫土
雕	冂隹
隋	阝月
禽	人厶
腺	月水
党	小儿
玖	王丶
肆	長二
掂	扌口
冶	冫口
遣	之㠯
皖	白儿
糕	米灬
茵	艹大
簿	⺮寸
咸	戊口
碘	石八
瞅	目火
廊	广阝
焰	火臼
淳	氵子
屑	尸月
嵌	山欠
袍	衤巳
僵	亻田
沫	氵木
寂	宀又
秤	禾䒑
藻	艹木
螺	虫絲
恤	忄皿
污	氵了
涯	氵土
滋	氵幺
嗜	口日
捻	扌心
勃	十力
矩	矢㇕
沽	氵口
淤	氵冫
描	扌田
契	丰大
祠	礻口
峻	山夂
稠	禾口
爵	爪寸
刨	勹刂
群	尹羊
烙	火口
强	弓虫
痘	疒䒑
髓	骨月
募	艹力
苟	艹口
魁	鬼十
棕	木示
倦	亻巳
疆	弓田
蔓	艹又
靴	革匕
烟	火大
殊	一小
艇	舟士
熔	火口
寡	宀刀
瞬	目㐄
榕	木口
庸	广月
棠	小木
埠	土十
茬	艹土
嗅	口丶
滇	氵八
寅	宀八
蛾	虫戈
慰	尸心
履	尸夂
涮	氵刂
督	上目
劣	小力
斧	八斤
淌	氵口
簇	⺮矢
沛	氵巾
掠	扌小
崎	山口
菇	艹口
砌	石刀
淹	氵乚
洽	氵口
澈	氵攵
椰	木阝
梢	木月
障	阝十
霄	雨月
揣	扌而
唆	口夂
拴	扌王
吏	大丶
堰	土女
棺	木㠯
腥	月生
胞	月巳
剖	立刂
羹	羊大
剃	丷刂
寓	宀厶
撩	扌小
扳	扌又
桔	木口
陌	阝白
撰	扌八
蛤	虫口
擒	扌厶
哨	口月
椒	木又
煌	火王
昧	日小
柒	氵木
辜	十辛
筐	⺮王
膊	月寸
遵	之寸
拙	扌山
竿	⺮十
衷	亠𧘇
脊	氵月
憨	㇕心
捶	扌二
苔	艹口
奸	女十
舅	臼力
恕	女心
啼	口巾
褪	衤艮
鞠	革米
彰	立彡
酬	酉川
橘	木口
啪	口白
睛	目月
哆	口夕
窟	穴山
垢	土口
愿	厂心
腮	月心
沸	氵川
妓	女又
猿	犭𧘇
漠	氵大
撬	扌毛
巍	山鬼
漾	氵水
擎	艹手
俐	亻刂
胚	月一
楷	木白
迭	之人
蹄	足巾
褐	衤乚
梭	木夂
畜	亠田
宵	宀月
榆	木刂
嚷	口𧘇
絮	女絲
罕	冖十
俯	亻寸
瀑	氵水
肇	户二
暇	日又
睬	目木
郊	亠阝
璧	尸丶
捎	扌月
嘀	口口
犁	禾牛
怔	忄止
焚	木火
灼	火丶
孽	艹子
匙	日匕
嚎	口豕
摧	扌隹
械	木艹
卯	氏冂
喧	口日
瓢	西瓜
裳	小𧘇
竭	立乚
擅	扌一
烹	亠灬
檐	木言
檀	木一
坯	土一
葡	艹甫
拘	扌口
躁	足木
凳	癶几
隙	阝小
伶	亻之
拭	扌工
墅	甲土
碾	石展
榨	木卜
黯	四日
苞	艹巳
戚	戊小
倘	亻口
怯	忄厶
礁	石灬
瞻	目言
脖	月子
襟	衤示
尉	尸寸
亥	亠人
肢	月又
悄	忄月
厘	厂二
憎	忄日
糙	米口
盔	大皿
睦	目土
炕	火几
荔	艹力
尬	尤川
悼	忄十
憾	忄心
褒	亠𧘇
烘	火八
嘻	口口
熄	火心
薯	艹者
蕉	艹灬
拗	扌力
毯	毛火
莽	艹艹
勉	⺈力
涌	氵用
歉	䒑欠
樟	木十
豁	宀口
窖	穴口
脉	月水
扭	扌十
胰	月弓
隅	阝厶
岔	八山
秘	禾丿
撼	扌心
瘟	疒皿
歧	止又
确	石用
价	亻川
悍	忄十
啤	口十
叛	半又
捌	扌刂
勘	其力
倡	亻日
蔽	艹攵
糯	米而
茫	艹亡
凰	几王
溺	氵冫
硝	石月
囤	因凵
吭	口几
靡	广非
跺	足木
扼	扌巳
吱	口又
瘸	疒人
棘	木冂
恍	忄尤
糠	米氵
渺	氵丿
琅	王艮
苛	艹口
橡	木豕
倔	亻山
耙	三巴
跋	足丶
踱	足又
恢	忄火
舵	舟匕
璃	王厶
懈	忄牛
漱	氵欠
庶	广灬
挎	扌了
茉	艹木
匾	匚艹
筑	⺮凡
痹	疒川
恃	忄寸
搔	扌虫
梧	木口
屹	山乙
灸	⺈火
蹈	足臼
秧	禾大
狸	犭二
沼	氵口
炬	火㇕
逞	之王
簧	⺮八
窘	穴口
赦	土攵
溯	氵月
斟	其十
匿	匚口
剔	日刂
癸	癶大
嘲	口月
噩	王口
筷	⺮大
滔	氵臼
丐	一乚
疹	疒彡
涕	氵亻
摹	艹手
羚	羊之
渤	氵力
墟	土业
柿	木巾
噪	口木
膨	月彡
琉	王川
抒	扌丨
酌	酉丶
殖	一且
眶	目王
稼	禾豕
粹	米十
褂	衤卜
廓	广阝
犀	尸牛
垛	土木
擂	扌田
檬	木豕
咕	口口
嘶	口斤
吮	口儿
芋	艹寸
萎	艹女
嗡	口习
吠	口丶
篷	⺮丰
聆	耳之
碌	石水
怠	厶心
砰	石䒑
曙	日者
稽	禾日
偎	亻展
敞	小攵
徙	行止
兢	十儿
峨	山戈
姊	女亻
愉	忄刂
衙	行口
鄙	口阝
澎	氵彡
煽	火习
惶	忄王
庇	广匕
芥	艹川
蝗	虫王
陋	阝乚
壤	土𧘇
愕	忄了
唧	口冂
慨	忄儿
朦	月豕
粱	氵米
征	行止
秩	禾人
蛛	虫小
晦	日母
嫉	女矢
幌	巾尤
怖	忄巾
婿	女月
挽	扌儿
矗	十且
晰	日斤
揩	扌白
酪	酉口
蔗	艹灬
嗓	口木
膛	月土
汛	氵十
剿	巛刂
蔬	艹川
腋	月丶
拄	扌王
徊	行口
嗽	口欠
悖	忄子
耘	三厶
榴	木田
伺	亻口
筏	⺮戈
辟	尸辛
姥	女匕
坷	土口
痢	疒刂
汰	氵丶
峭	山月
僚	亻小
忿	八心
孵	氏子
捺	扌示
寞	宀大
畸	田口
匆	勹丶
渲	氵日
耽	其儿
猩	犭生
殃	一大
遏	之乚
隘	阝皿
泌	氵丿
俘	亻子
晌	日口
睫	目止
捍	扌十
蝠	虫田
膀	月方
姻	女大
熏	千灬
氓	亡七
忱	忄儿
媳	女心
荐	艹子
埂	土乂
僻	亻辛
瓤	亠瓜
拯	扌一
奠	丷大
翩	户习
祟	凵示
殉	一日
跤	足乂
菩	艹口
喳	口一
蘑	艹石
盹	目凵
哮	口子
狡	犭乂
蹋	足习
篡	⺮厶
竣	立夂
秸	禾口
崛	山山
庵	广乚
隧	阝豕
蜈	虫大
惰	忄月
蚤	又虫
苹	艹䒑
藐	艹儿
酵	酉子
匈	勹凵
唾	口二
瑙	王乂
蛀	虫王
慷	忄氵
寥	宀彡
蔑	艹丶
迄	之乙
臊	月木
懦	忄而
肴	乂月
湃	氵丰
疚	疒丶
窿	穴生
漓	氵厶
迂	之寸
氛	气刀
腊	月日
懊	忄大
萄	艹山
况	冫儿
侮	亻母
悴	忄十
梆	木阝
蟆	虫大
溉	氵儿
嘹	口小
蟀	虫艹
惕	忄彡
惦	忄口
蜓	虫士
榔	木阝
蚓	虫丨
葫	艹月
譬	尸言
豺	豸丿
柜	木㇕
帚	彐巾
茁	艹山
咨	冫口
淀	氵止
吩	口刀
蚪	虫十
褥	衤寸
菠	艹皮
蜒	虫止
蜡	虫日
憔	忄灬
雹	雨巳
橄	艹攵
婪	木女
疙	疒乙
侈	亻夕
蝴	虫月
峰	山丰
咄	口山
蜘	虫口
棱	木夂
圾	土人
咐	口寸
甥	生力
霹	雨辛
蚣	虫厶
霎	雨女
簸	⺮皮
惋	忄夗
蠕	虫而
瘩	疒口
迢	之口
胳	月口
猖	犭日
蜻	虫月
痊	疒王
迹	之八
玷	王口
凭	亻几
韵	立冫
踊	足用
蹂	足木
袱	衤丶
豌	一夗
蝌	虫十
淆	氵月
酗	酉凵
吁	口寸
螃	虫方
蟋	虫心
蝙	虫艹
够	勹夕
弃	亠艹
极	木人
葱	艹心
猫	犭田
册	冂一
垒	厶土
赶	走十
窑	穴山
柠	木丁
猬	犭月
猎	犭日
凄	冫女
晋	一日
痴	疒口
叙	人又
离	亠厶
滚	氵𧘇
屉	尸乚
与	一一
国	因丶
吨	口凵
却	土冂
担	扌一
撑	扌手
携	扌丿
抬	扌口
构	木厶
蝎	虫乚
咏	口水
踪	足示
网	冂乂
岭	山之
复	矢夂
众	人人
脚	月冂
胆	月一
凉	冫小
决	冫大
恒	忄日
潜	氵日
汹	氵凵
袜	衤木
宫	宀口
栅	木一
秆	禾十
删	冂刂
胶	月乂
泞	氵丁
芜	艹尤
碱	石口
毁	臼殳
体	亻一
肮	月几
凑	冫大
怜	忄之
惊	忄小
羡	羊欠
洁	氵口
篱	⺮厶
橱	木寸
减	冫口
厨	厂寸
凛	冫示
厦	厂夂
厢	厂目
禀	亠示
叠	又且
献	十丶
园	因儿
吓	口卜
触	⺈虫
丽	一丶
沟	氵厶
积	禾八
块	土大
宪	宀儿
说	言儿
为	丷丶
发	乚丶
两	一人
专	二丶
动	二力
联	耳大
帮	丰巾
热	扌灬
拨	扌丶
带	艹巾
横	木八
顾	厂頁
暂	車日
点	卜灬
别	口刂
贩	貝又
赔	貝口
税	禾儿
传	亻丶
伪	亻丶
会	人厶
领	人頁
镇	金八
钻	金口
钢	金乂
铁	金人
腻	月貝
脱	月儿
讲	言川
调	言口
诉	言丶
该	言人
变	亠又
装	丬𧘇
闭	門丿
将	丬寸
应	广一
废	广丶
炼	火八
总	丷心
单	丷十
粮	米艮
数	米攵
滤	氵心
测	氵刂
学	⺍子
泼	氵丶
宽	宀見
实	宀大
层	尸厶
验	馬⺍
买	㇕大
骗	馬艹
费	弓貝
弹	弓十
随	阝月
续	絲大
纯	絲凵
统	絲儿
断	米斤
编	絲艹
经	絲工
蚕	一虫
鹉	一鳥
严	一丿
恶	一心
画	一凵
残	一戈
歼	一千
迈	之力
坛	土厶
墙	土口
盐	土皿
进	之川
顽	二頁
远	之儿
趋	走彐
颊	二頁
壶	士业
壳	士几
场	土彡
运	之厶
职	耳八
静	丰彐
艳	丰巴
聪	耳心
鬓	長八
聂	耳又
抚	扌尤
挟	扌火
摄	扌又
捞	扌力
拣	扌八
抠	扌乂
损	扌貝
挡	扌彐
摆	扌厶
捡	扌⺍
抡	扌匕
抢	扌巳
摇	扌山
垫	扌土
挚	扌手
抛	扌力
换	扌大
搀	扌冫
挣	扌彐
挤	扌川
搁	扌口
掷	扌阝
搂	扌女
搅	扌見
拧	扌丁
挥	扌車
摊	扌隹
扬	扌彡
报	扌又
掺	扌彡
拟	扌人
苇	艹㇆
协	十八
载	土戈
莲	艹車
蓝	艹皿
黄	廿八
颠	十頁
获	艹丶
蔼	艹乚
蒋	艹寸
丧	十展
荡	艹彡
莹	艹丶
荣	艹木
荤	艹車
萤	艹虫
营	艹口
荧	艹火
劳	艹力
茎	艹工
萧	艹八
卖	十大
苏	艹八
荫	艹月
萨	艹丿
蕴	艹皿
药	艹丶
飘	西風
梦	木夕
雳	雨力
栋	木小
枢	木乂
档	木彐
枣	木冫
桥	木川
霉	雨母
检	木⺍
枪	木巳
赖	木貝
酿	酉艮
桩	木土
楼	木女
树	木寸
椭	木月
杨	木彡
厉	厂力
压	厂丶
砖	石丶
厌	厂丶
碍	石寸
厕	厂刂
袭	龍𧘇
态	大心
牵	大牛
础	石山
轩	車十
辆	車人
贰	弋貝
转	車丶
轰	車又
翘	戈习
辑	車耳
轿	車川
输	車刂
殴	匚殳
轮	車匕
较	車乂
辙	車攵
辖	車口
轻	車工
辗	車展
顿	七頁
战	卜戈
蝇	虫乚
蜗	虫人
卤	卜乂
频	止頁
龄	齒之
蜕	虫儿
蝉	虫十
颅	卜頁
吴	口大
哑	口业
贵	中貝
围	因㇆
团	因丿
喷	口貝
躏	足隹
跷	足尤
呕	口乂
圆	因貝
骂	口馬
啰	口夕
跃	足大
响	口口
哗	口十
呛	口匕
鹃	口鳥
唤	口大
图	因冫
嘱	口厶
啸	口八
哟	口丶
题	日頁
师	刂巾
畴	田寸
颗	日頁
辉	小車
晓	日尤
临	刂日
监	刂皿
览	刂見
鉴	刂金
凿	业凵
尝	小厶
晕	日車
赏	小貝
贤	刂貝
肾	刂月
竖	刂立
紧	刂絲
畅	申彡
赋	貝止
屿	山一
峡	山火
罢	四厶
财	貝丿
瞒	目人
巅	山頁
赎	貝大
贿	貝月
鸯	冂鳥
贼	貝大
岖	山乂
崭	山斤
贴	貝口
帜	巾八
刚	冂刂
赐	貝彡
婴	貝女
赂	貝口
睁	目彐
购	貝厶
罚	四刂
赃	貝土
赠	貝日
赚	貝八
贮	貝一
瞩	目厶
凯	山几
悬	且心
丢	丿厶
筹	⺮寸
乔	丿川
毡	毛口
篮	⺮皿
签	⺮⺍
颓	禾頁
称	禾小
赞	牛貝
选	之儿
稳	禾心
鹅	手鳥
简	⺮日
篓	⺮女
氢	气工
箫	⺮八
俩	亻人
粤	鬼了
侠	亻火
伟	亻㇆
债	亻貝
侥	亻尤
贷	亻貝
舆	臼八
躯	身乂
侦	亻貝
侣	亻口
侧	亻刂
侨	亻川
赁	亻貝
伤	亻力
俭	亻⺍
伦	亻匕
华	亻十
倾	亻頁
货	亻貝
储	亻者
奥	自大
剑	人刂
敛	人攵
馍	食大
刹	乂刂
饶	食尤
彻	行刀
馈	食貝
饿	食戈
饰	食巾
丛	人一
耸	人耳
爷	八冂
饭	食又
馁	食女
馋	食冫
馅	食臼
馏	食田
饱	食巳
贪	人貝
伞	人丨
饼	食艹
邻	人阝
馆	食㠯
饲	食口
